key,ru
policies.tools.gallery_search.extras.suppress_refusal_message,"gallery_search сейчас не выполняется: для этого же сообщения пользователя уже использовались веб-инструменты (факты с сайтов). Не смешивай галерею с дилерами/ценами — продолжай web_fetch_url по другим URL из выдачи или web_search_saved, либо ответь текстом."
policies.tools.camera_capture.extras.no_camera_intent_refusal_message,camera_capture сейчас недоступен: в сообщении пользователя нет явного запроса снять кадр с камеры или веб-камеры. Ответь текстом; время и показания железа — только из sens.
policies.tools.camera_capture.extras.suppress_refusal_message,camera_capture сейчас не выполняется: для этого же сообщения пользователя уже использовались веб-инструменты. Не смешивай камеру с фактами с сайтов — продолжай web_fetch_url или ответь текстом.
policies.tools.web_search.forbidden_if_last_hint,Открой страницы через web_fetch_url по URL из выдачи или web_search_saved с тем же research_run_id.
policies.tools.web_search.extras.no_web_intent_refusal_message,"web_search сейчас недоступен: в сообщении пользователя нет явного запроса поиска в интернете или актуальных данных из сети. Ответь из sens, памяти и своих знаний; если без сети нельзя — попроси пользователя явно сформулировать запрос на поиск в интернете."
policies.tools.web_fetch_url.extras.orphan_refusal_message,web_fetch_url сейчас недоступен: открывай страницы только после web_search в этом же ответе (по URL из его выдачи). Сначала вызови web_search.
chat.tool_history_trunc_marker,[… ответ инструмента обрезан по лимиту длины для истории …]
tools.memory_search.no_hit,В памяти не найдено ничего релевантного.
tools.memory_search.context_header,[КОНТЕКСТ ИЗ ПАМЯТИ]:
tools.memory_search.fact_line,Факт: {reply}
tools.memory_search.error,Ошибка при обращении к памяти: {e}
tools.memory_search.skipped_empty,[memory_search пропущен: пустой запрос]
tools.memory_search.skipped_irrelevant,[memory_search пропущен: в вопросе нет явной ссылки на прошлый диалог или сохранённые факты]
tools.web_search.empty_query,Запрос пустой.
tools.web_search.no_window,Ошибка: нет контекста окна для запуска web-search сервиса.
tools.web_search.unavailable,Web search недоступен: {details}
tools.web_search.error,Ошибка web_search: {e}
tools.web_search.error_prefix,Ошибка web_search
tools.web_search.no_results,По запросу ничего не найдено.
tools.web_search.no_title,(без заголовка)
tools.web_search.result_line,"{i}. {title}
URL: {link}
Сниппет: {snippet}
RouteHint(for fetch): {route_hint}"
tools.web_search.header,"Результаты web_search (route={route_mode}, research_run_id={run_id}). Для web_fetch_url при желании передай тот же run_id.

"
tools.web_search.skipped_empty,[web_search пропущен: пустой запрос]
tools.web_search_saved.no_window,Ошибка: нет контекста окна.
tools.web_search_saved.bad_run_id,Некорректный research_run_id.
tools.web_search_saved.not_found,research_run_id={rid} не найден или не относится к текущей сессии. Сначала вызови web_search или проверь номер run из его ответа.
tools.web_search_saved.empty,"По research_run_id={rid} нет сохранённых позиций web_search (возможно, выдача была пустой)."
tools.web_search_saved.line,"{i}. {title}
URL: {u}
Сниппет: {sn}"
tools.web_search_saved.header,"Сохранённая выдача web_search из базы (research_run_id={rid}), без нового поиска в интернете:

"
tools.web_search_saved.footer,Дальше при необходимости вызывай web_fetch_url с url=... и run_id={rid}.
tools.web_search_saved.skipped,[web_search_saved пропущен: укажи целочисленный run_id из ответа web_search]
tools.web_fetch.empty_url,Пустой URL.
tools.web_fetch.no_window,Ошибка: нет контекста окна.
tools.web_fetch.error,Ошибка web_fetch_url: {e}
tools.web_fetch.error_prefix,Ошибка web_fetch_url
tools.web_fetch.serp_line,"- {title}
  {url}
  Сниппет: {sn}"
tools.web_fetch.serp_tail,"

--- Из той же сохранённой выдачи web_search (research_run_id={run_id}), ещё не открывали через web_fetch_url ---
"
tools.web_fetch.serp_done,"(Других URL из этой выдачи, которые ещё не пробовали, не осталось — при другом смысле запроса сделай новый web_search.)"
tools.web_fetch.loaded,"Контент страницы загружен (route={route}, chars={n}).
URL: {url}
Краткая выжимка:
{short}"
tools.web_fetch.skipped_empty,[web_fetch_url пропущен: пустой url]
tools.web_fetch.dedupe,Повторная загрузка пропущена: этот URL уже успешно открывали в этом ответе ({url}). Не вызывай web_fetch_url для него снова — используй текст из предыдущего сообщения tool.
tools.camera_capture.no_window,Нет окна приложения
tools.recall_knowledge.skipped_visual,"Поиск в текстовой памяти пропущен, так как найден визуальный запрос."
chat.tool_refusal.chain_step,{fn_name} недоступен: по правилам сервера этот инструмент разрешён только на шаге цепочки {steps} (сейчас шаг {step}). Продолжи инструментами из текущего меню или ответь текстом.
chat.tool_refusal.after_last,{fn_name} недоступен сразу после «{last}»: такой порядок вызовов запрещён.{hint} Используй инструменты из меню на этом шаге или ответь текстом.
chat.tool_not_found,Ошибка: инструмент {name} не найден.
chat.gallery_search.frame_line,Кадр №{i}: {cap}
chat.gallery_search.vision_context,"ИСХОДНЫЙ ВОПРОС ПОЛЬЗОВАТЕЛЯ (опирайся на него в первую очередь; галерея — только если реально помогает):
{question}

Результаты gallery_search по запросу инструмента «{query}» (в vision: {vision_n} из {total_n} кадров{batch_note}).
ТЕКСТОВЫЕ ПРОМПТЫ ЭТИХ КАДРОВ:
{prompts}
Кадры также показаны пользователю в чате сеткой. ТВОЯ ЗАДАЧА: ответь как {model_name}, кратко и по делу, без пересказа списком — прокомментируй то, что видишь.
"
chat.gallery_search.meta,"

[gallery_search] Запрос инструмента: {query!r}. Кадров в выдаче: {total} (в vision передано {vision_n}).
Промпты кадров:
{prompts}"
chat.gallery_search.found,[gallery_search] Кадры найдены.
chat.gallery_search.empty,[В галерее ничего не нашлось по этому запросу]
chat.gallery_search.default_query,поиск
chat.camera_capture.vision_context,"ИСХОДНЫЙ ВОПРОС ПОЛЬЗОВАТЕЛЯ:
{question}

Это один свежий кадр с веб-камеры пользователя (camera_capture). Кадр показан пользователю в чате. ТВОЯ ЗАДАЧА: ответь как {model_name}, кратко — что видишь и по сути вопроса.
"
chat.camera_capture.meta_path,"

[camera_capture] Кадр: {path}"
chat.camera_capture.meta_reason, Причина вызова: {reason!r}.
chat.camera_capture.received,[camera_capture] Кадр получен.
chat.camera_capture.denied,[camera_capture] Пользователь отклонил доступ к камере. Ответь текстом или предложи прикрепить фото вручную.
chat.camera_capture.cancelled,[camera_capture] Захват отменён пользователем.
chat.camera_capture.unavailable,[camera_capture] Камера недоступна: {msg}.
chat.camera_capture.failed,[camera_capture] Не удалось снять кадр: {msg}.
chat.camera_capture.no_vision,camera_capture недоступен: у активной модели нет vision (mmproj/chat_handler). Ответь текстом или попроси пользователя прикрепить фото.
chat.camera_capture.user_cancelled,Пользователь отменил захват с камеры
chat.camera_capture.empty_frame,Пустой кадр с камеры
chat.camera_capture.save_failed,Не удалось сохранить кадр
chat.camera_capture.no_device,нет устройства
chat.camera_capture.error_generic,ошибка
chat.vision.images_no_vision,"[Изображения получены, vision недоступен]"
chat.vision.frames_comment_failed,[Кадры получены; краткий vision-комментарий не удался — смотри лог]
chat.vision.batch_note,"(Пакет vision {bi}/{n_batches}, кадры {start}–{end} из {total}; прокомментируй только эти кадры.)"
chat.domain.tool_pending,[Выполняю вызов инструмента…]
chat.worker.empty_model_reply,Пустой ответ модели — попробуй переформулировать вопрос или задать его короче.
chat.worker.gallery_searching,[Выполняю вызов инструмента…]
chat.worker.gallery_shown,[Системное уведомление: Ты успешно показала пользователю изображения из галереи]
chat.worker.model_error,Ошибка модели: {e}
chat.worker.parse_error,Ошибка парсинга: {e}
chat.worker.telegram_notice,Заметила сообщение в Telegram — отвечаю без инструментов.
notify_andrey.description,"Зафиксировать решение после обмена в Telegram-боте. Вызывай ВСЕГДА (один раз за оценку). should_notify_andrey=true ТОЛЬКО если в строке «Спросили» собеседник явно просил передать что-то владельцу. should_notify_andrey=false во всех остальных случаях. Не используй message, чтобы объяснить отказ."
notify_andrey.param.should_notify,true — прервать {user_name_genitive} в десктоп-чате {app_name}; false — молчать в десктоп-чате (ответ в боте уже был).
notify_andrey.param.message,"Только при should_notify_andrey=true: что передать владельцу, 1–2 предложения. Формат: «В Telegram user_id=… просят передать: …». При false оставь пустым или не передавай."
notify_andrey.examples,Примеры в описании инструмента.
