key,ru
⏳ Wait for the current generation or edit to finish.,⏳ Дождитесь окончания текущей генерации или редактирования.
⚠️ An error occurred: {message},⚠️ Произошла ошибка: {message}
❌ Error: model returned no image.,❌ Ошибка: модель не вернула изображение.
❌ Model not loaded yet.,❌ Модель ещё не загружена.
[Nothing to save to memory yet],[Пока нечего сохранять в память]
[System: Marked for memory],[Система: Отмечено для памяти]
[No history entry for this pair],[Нет записи в истории для этой пары]
[Nothing to save yet],[Пока нечего сохранять]
[System: Saved],[Система: Сохранено]
⚠️ Model switch: {message},⚠️ Смена модели: {message}
Switching model…,Переключаем модель…
Closing application…,Закрываем приложение…
Stopping chat tasks…,Останавливаем задачи чата…
Stopping perception…,Отключаем восприятие…
Stopping speech…,Останавливаем озвучку…
Stopping services…,Останавливаем сервисы…
"Qwen Image Edit ready: main photo required, second optional for composition; then describe the edit.","Qwen Image Edit готов: основное фото (обязательно), второе — по желанию для композиции; затем текст правки."
Artist mode ready 🎨,Художница готова к работе 🎨
Camera,Камера
{app_name} requests camera access to capture one frame for the vision model.,"{app_name} запрашивает доступ к камере, чтобы снять один кадр и передать его в vision-модель для ответа."
Remember for this chat,Запомнить для этого чата
Allow,Разрешить
Review the frame before sending to chat.,Проверьте кадр перед отправкой в чат.
Confirm,Подтвердить
Retake,Переснять
Qt Multimedia unavailable on this system.,Qt Multimedia недоступен на этой системе.
Qt Multimedia not installed,Qt Multimedia не установлен
"Webcam not found.

If console showed «No QtMultimedia backends found» — remove forced QT_MEDIA_BACKEND=gstreamer and restart Lira, or install plugins:
  sudo apt install gstreamer1.0-plugins-good gstreamer1.0-plugins-bad
or set before launch: QT_MEDIA_BACKEND=ffmpeg","Веб-камера не найдена.

Если в консоли было «No QtMultimedia backends found» — снимите принудительный QT_MEDIA_BACKEND=gstreamer и перезапустите {app_name}, либо установите плагины:
  sudo apt install gstreamer1.0-plugins-good gstreamer1.0-plugins-bad
или задайте перед запуском: QT_MEDIA_BACKEND=ffmpeg"
"Wait for preview, then «Capture frame» (Qt QImageCapture).","Дождитесь превью, затем «Снять кадр» (Qt QImageCapture)."
"Could not open camera:
{e}","Не удалось открыть камеру:
{e}"
Preview ready — press «Capture frame».,Превью готово — нажмите «Снять кадр».
Camera not ready — wait a second…,Камера ещё не готова — подождите секунду…
Capturing frame…,Снимаю кадр…
Could not capture frame: {reason},Не удалось снять кадр: {reason}
This is how {app_name} will see the frame. Confirm or retake.,Так {app_name} увидит кадр. Подтвердите или переснимите.
Wait for preview again and press «Capture frame».,Снова дождитесь превью и нажмите «Снять кадр».
Chat,Чат
Return to {app_name} chat,Вернуться в чат {app_name}
Forward,Вперёд
Reload,Обновить
Home (SearXNG),Домой (SearXNG)
Page URL,Адрес страницы
Load cancelled,Загрузка отменена
Load aborted,Загрузка прервана
PDF opened: {name},PDF открыт: {name}
PDF saved: {dir}/{name},PDF сохранён: {dir}/{name}
Image: {dir}/{name},Изображение: {dir}/{name}
Saved: {dir}/{name},Сохранено: {dir}/{name}
Could not load page,Не удалось загрузить страницу
PDF: loading for preview…,PDF: загрузка для просмотра…
Could not open PDF,Не удалось открыть PDF
PDF is empty,PDF пустой
PDF: write error,PDF: ошибка записи
Connecting to SearXNG…,Подключение к SearXNG…
Connecting…,Подключение
For PDF vision install: pip install pymupdf,Для просмотра PDF через vision установите: pip install pymupdf
Install PDF support: pip install pypdf,Для PDF установите зависимость: pip install pypdf
File does not look like a valid PDF (corrupt or truncated). Try again; limit 6 MB.,Файл не похож на PDF (повреждён или обрезан при передаче). Попробуйте прикрепить снова; лимит — 6 МБ.
Could not read PDF: {e},Не удалось прочитать PDF: {e}
[PDF has no extractable text — may be scans only; attach pages as JPG/PNG.],"[PDF без извлекаемого текста — возможно, только сканы; прикрепите страницы как JPG/PNG.]"
File too large (max. {mb} MB).,Файл слишком большой (макс. {mb} МБ).
"Format «{name}» not supported. Text: .txt, .md, .csv; PDF: .pdf; images: JPG, PNG, WebP.","Формат «{name}» не поддержан. Текст: .txt, .md, .csv; PDF: .pdf; картинки: JPG, PNG, WebP."
No text found in file «{name}».,В файле «{name}» не найден текст.
[… document truncated by character limit …],[… документ обрезан по лимиту символов …]
untitled,без названия
saved image,сохраненное изображение
saved image (alt spelling),сохранённое изображение
Artist mode active,Режим Художницы активен
Gallery restore error:,Ошибка восстановления галереи:
Opening photo:,Открываем фото:
Mute mode:,Режим без звука:
Copy backend unavailable,Бэкенд для копирования не доступен
Qwen load failed,ошибка загрузки Qwen Image Edit
